Name,Mileage,Year,Gearbox,Transmission,Horse Power,Energie,Location,Price,Date
Renault Megane,158 000 km,2020,Manuelle,Traction,5 cv,Diesel,N/A,N/A,N/A
Dacia Sandero StepwayBoite Auto Importée Tn250,62 000 km,2020,Automatique,Traction,5 cv,Essence,N/A,N/A,N/A
KIA Seltos,150 000 km,2021,Automatique,Traction,8 cv,Essence,N/A,N/A,N/A
Hyundai i20,65 000 km,2023,Manuelle,Traction,5 cv,Essence,N/A,N/A,N/A
KIA SportageGT-Line,119 000 km,2019,Automatique,Traction,7 cv,Diesel,N/A,N/A,N/A
Peugeot 208,108 000 km,2021,Manuelle,Traction,5 cv,Diesel,N/A,N/A,N/A
Peugeot 3008,148 000 km,2020,Automatique,Traction,6 cv,Diesel,N/A,N/A,N/A
Suzuki Celerio,0 km,2024,Manuelle,Traction,4 cv,Essence,N/A,N/A,N/A
Seat Ibiza,98 000 km,2019,Manuelle,Traction,4 cv,Essence,N/A,N/A,N/A
Fiat Tipo 5 portes,68 000 km,2021,Manuelle,Traction,5 cv,Essence,N/A,N/A,N/A
Volkswagen CaddyPrestige,390 000 km,2017,Manuelle,Propulsion,5 cv,Diesel,N/A,N/A,N/A
Peugeot 3008Premium Blanc nacré,157 000 km,2012,Manuelle,Traction,7 cv,Essence,N/A,N/A,N/A
Citroën C3,148 000 km,2008,Manuelle,Traction,4 cv,Essence,N/A,N/A,N/A
Haval Jolion,17 925 km,2022,Automatique,Traction,9 cv,Essence,N/A,N/A,N/A
Renault VelsatisExpression,269 000 km,2003,Manuelle,Traction,7 cv,Diesel,N/A,N/A,N/A
Renault Velsatis,269 000 km,2003,Manuelle,Traction,7 cv,Diesel,N/A,N/A,N/A
Ford FusionSE,116 000 km,2016,Manuelle,Traction,9 cv,Essence,N/A,N/A,N/A
BMW X2Lounge,1 500 km,2024,Automatique,Traction,8 cv,Essence,N/A,N/A,N/A
Peugeot Partner Origin Utilitaire,404 000 km,2009,Manuelle,Traction,6 cv,Diesel,N/A,N/A,N/A
Mitsubishi L200 SporteroDouble Cabine,40 000 km,2022,Automatique,Intégrale,8 cv,Diesel,N/A,N/A,N/A
BMW X1,110 000 km,2017,Automatique,Traction,7 cv,Essence,N/A,N/A,N/A
Land Rover Range RoverV8 4.2 SUPERCHARGED,60 000 km,2010,Automatique,Intégrale,32 cv,Essence,N/A,N/A,N/A
Nissan Patrol,300 000 km,1989,Automatique,Propulsion,21 cv,Diesel,N/A,N/A,N/A
Mercedes-Benz CLAAMG,160 000 km,2013,Automatique,Intégrale,8 cv,Essence,N/A,N/A,N/A
Peugeot 2008Allure Toit Cielo,61 000 km,2018,Automatique,Intégrale,6 cv,Essence,N/A,N/A,N/A
Mercedes-Benz Classe C,120 000 km,2019,Automatique,Propulsion,8 cv,Essence,N/A,N/A,N/A
Citroën C4Seduction,222 000 km,2014,Manuelle,Intégrale,6 cv,Diesel,N/A,N/A,N/A
Seat LeonStyle,96 000 km,2014,Automatique,Intégrale,6 cv,Essence,N/A,N/A,N/A
BMW Série 1Access,125 000 km,2012,Automatique,Traction,7 cv,Essence,N/A,N/A,N/A
BMW Série 7,150 000 km,2009,Automatique,Traction,31 cv,Essence,N/A,N/A,N/A
KIA Rio 5pGT-Line,85 000 km,2021,Manuelle,Traction,5 cv,Essence,N/A,N/A,N/A
Mercedes-Benz Classe EAvantgarde,107 000 km,2018,Automatique,Traction,9 cv,Essence,N/A,N/A,N/A
Ford Mustang,16 000 km,2010,Automatique,Intégrale,28 cv,Essence,N/A,N/A,N/A
Audi Q3 Sportback,40 000 km,2022,Automatique,Traction,9 cv,Essence,N/A,N/A,N/A
Hyundai Tucson,170 000 km,2021,Automatique,Traction,8 cv,Essence,N/A,N/A,N/A
Iveco Daily Simple Cabine,1 900 km,2024,Manuelle,Traction,10 cv,Diesel,N/A,N/A,N/A
Dacia Dokker Van,50 000 km,2020,Manuelle,Traction,6 cv,Diesel,N/A,N/A,N/A
Volkswagen Golf 7Allstar,53 000 km,2017,Manuelle,Traction,5 cv,Essence,N/A,N/A,N/A
DS 4 Crossback,150 000 km,2017,Automatique,Traction,9 cv,Essence,N/A,N/A,N/A
Citroën C4 CactusFeel,148 000 km,2020,Manuelle,Intégrale,6 cv,Diesel,N/A,N/A,N/A
Seat Ibiza,75 000 km,2020,Automatique,Traction,6 cv,Essence,N/A,N/A,N/A
Jeep Compass,46 000 km,2020,Automatique,Propulsion,11 cv,Essence,N/A,N/A,N/A
Volkswagen Crafter,14 000 km,2023,Manuelle,Traction,7 cv,Diesel,N/A,N/A,N/A
BMW Série 3Luxury Line,147 000 km,2013,Automatique,Propulsion,7 cv,Essence,N/A,N/A,N/A
Mitsubishi L200 Sportero,310 000 km,2008,Automatique,Intégrale,10 cv,Diesel,N/A,N/A,N/A
Mitsubishi Pajero,280 000 km,2001,Automatique,Propulsion,12 cv,Diesel,N/A,N/A,N/A
KIA Rio 5pGT-Line,100 000 km,2021,Manuelle,Traction,5 cv,Essence,N/A,N/A,N/A
Mercedes-Benz Classe C,200 000 km,2012,Automatique,Propulsion,9 cv,Essence,N/A,N/A,N/A
Haval H6,110 000 km,2021,Automatique,Traction,9 cv,Essence,N/A,N/A,N/A
Volkswagen Caddy,60 000 km,2021,Manuelle,Traction,7 cv,Diesel,N/A,N/A,N/A
